url,type
corporationwiki.com/Washington/Bothell/snc-lavalin-constructors-inc-4066855.aspx,benign
http://center-translate.ru/index.php/blog-centra-perevodov-in-yaz,phishing
faqs.org/tax-exempt/NC/American-Water-Works-Association-North-Carolina-Section.html,benign
dotpermithelpers.com/?p=1,benign
en.wikipedia.org/wiki/Savoy_Hotel_and_Grill,benign
rottentomatoes.com/m/far_from_heaven/,benign
frgregory.blogspot.com/,benign
http://elitedaily.com/money/entrepreneurship/work-wisdom-learned-startup-trailblazers/843975/,benign
spoke.com/info/c5occXh/drinkwaterassociates,benign
iagenweb.org/plymouth/Cities/seneyhistoryinthenews.html,benign
midwestbearfest.com/,benign
comingsoon.net/news/movienews.php?id=84803,benign
http://www.lontechshop.co.uk/your-details/reset.html,phishing
imdb.com/name/nm0363414/,benign
http://prepechal.net/index.php?view=weblink&catid=37:partnei&id=8:cerea-as&option=com_weblinks&Itemid=55,phishing
albanyhightimes.com/,benign
http://babyology.com/index.html?fontstyle=f-larger,phishing
debbiedoesdining.typepad.com/,benign
http://virgiliogomes.com/cronicas?start=20,phishing
http://www.elektro-vozila.si/mali-oglasi.1,phishing
familytreemaker.genealogy.com/users/f/i/g/Sharon-A-Fighter/ODT12-0001.html,benign
teletoon.com/teletoon3/retro.php?language=En,benign
http://www.khd.at/index.html,phishing
http://www.winnerhydraulicsusa.com/webstore/store/listcategoriesandproducts.asp?idcategory=6,phishing
amtrak.com/servlet/ContentServer?pagename=am/am2Station/Station_Page&code=MTR,benign
saturnsettlement.com/,benign
documentaryfilmfestival.blogspot.com/,benign
haitixchange.com/index.php/forums/viewthread/7066/,benign
watertown-ct.org/OBG_List.htm,benign
manta.com/c/mmcdr6x/long-branch-city-of-inc,benign
goldenagepaintings.blogspot.com/2011/01/william-edward-millner-end-of-day.html,benign
youtube.com/watch?v=ZmoALlYl10E,benign
runmichigan.com/results/full.php/2009/07/12/mount-olivet-cemetery-sunrise-run-2.html,benign
welovetommyjoe.weebly.com/,benign
en.wikipedia.org/wiki/A_Huey_P._Newton_Story,benign
http://perezhilton.com/2015-05-13-scott-stapp-creed-bipolar-disorder-reveal/?from=readmore_perezhilton&,benign
webandgraphicsolutions.com/Web-Design-Kansas_City-Missouri.html,benign
docstoc.com/docs/37087649/SATURDAY_-MAY-29,benign
skclovescollegefootball.wordpress.com/,benign
http://trubeats.com/beathelper.html,phishing
whitehouseboysmen.org/?tag=tiger-lionel,benign
http://www.veiculoseguro.com.br/index.php?option=com_content&view=article&id=65&Itemid=85,phishing
mgmcleaners.com/,benign
vgreleases.com/PS3/ReleaseDate-338623.aspx,benign
youtube.com/watch?v=NKV6aSHoJbc,benign
1881.com/cobyways.htm,benign
thepipelineshow.blogspot.com/2011/10/2012-draft-watch-charles-hudon.html,benign
matthewcharlesheulitt.com/,benign
closinglogos.com/page/DiC+Entertainment,benign
faculty.cu-portland.edu/,benign
nfl.com/player/nellofalaschi/2513804/profile,benign
http://www.cuxhaven.cc/index.php?view=category&catid=2&option=com_joomgallery&Itemid=47,phishing
youtube.com/watch?v=CrrQCexAYC4,benign
prideband.com/,benign
http://www.sanremoballroom.com.au/index.php?option=com_phocagallery&view=category&id=1&Itemid=52,phishing
flickr.com/photos/12150532@N04/4700249211/,benign
http://www.gerridavis.com/galleries/184-gallery-024,phishing
