url,type,Results
corporationwiki.com/Washington/Bothell/snc-lavalin-constructors-inc-4066855.aspx,benign,0
http://center-translate.ru/index.php/blog-centra-perevodov-in-yaz,phishing,1
faqs.org/tax-exempt/NC/American-Water-Works-Association-North-Carolina-Section.html,benign,0
dotpermithelpers.com/?p=1,benign,0
en.wikipedia.org/wiki/Savoy_Hotel_and_Grill,benign,0
rottentomatoes.com/m/far_from_heaven/,benign,0
frgregory.blogspot.com/,benign,0
http://elitedaily.com/money/entrepreneurship/work-wisdom-learned-startup-trailblazers/843975/,benign,0
spoke.com/info/c5occXh/drinkwaterassociates,benign,0
iagenweb.org/plymouth/Cities/seneyhistoryinthenews.html,benign,0
midwestbearfest.com/,benign,0
comingsoon.net/news/movienews.php?id=84803,benign,0
http://www.lontechshop.co.uk/your-details/reset.html,phishing,1
imdb.com/name/nm0363414/,benign,0
http://prepechal.net/index.php?view=weblink&catid=37:partnei&id=8:cerea-as&option=com_weblinks&Itemid=55,phishing,1
albanyhightimes.com/,benign,0
http://babyology.com/index.html?fontstyle=f-larger,phishing,1
debbiedoesdining.typepad.com/,benign,0
http://virgiliogomes.com/cronicas?start=20,phishing,1
http://www.elektro-vozila.si/mali-oglasi.1,phishing,1
familytreemaker.genealogy.com/users/f/i/g/Sharon-A-Fighter/ODT12-0001.html,benign,0
teletoon.com/teletoon3/retro.php?language=En,benign,0
http://www.khd.at/index.html,phishing,1
http://www.winnerhydraulicsusa.com/webstore/store/listcategoriesandproducts.asp?idcategory=6,phishing,1
amtrak.com/servlet/ContentServer?pagename=am/am2Station/Station_Page&code=MTR,benign,0
saturnsettlement.com/,benign,0
documentaryfilmfestival.blogspot.com/,benign,0
haitixchange.com/index.php/forums/viewthread/7066/,benign,0
watertown-ct.org/OBG_List.htm,benign,0
manta.com/c/mmcdr6x/long-branch-city-of-inc,benign,0
goldenagepaintings.blogspot.com/2011/01/william-edward-millner-end-of-day.html,benign,0
youtube.com/watch?v=ZmoALlYl10E,benign,0
runmichigan.com/results/full.php/2009/07/12/mount-olivet-cemetery-sunrise-run-2.html,benign,0
welovetommyjoe.weebly.com/,benign,0
en.wikipedia.org/wiki/A_Huey_P._Newton_Story,benign,0
http://perezhilton.com/2015-05-13-scott-stapp-creed-bipolar-disorder-reveal/?from=readmore_perezhilton&,benign,0
webandgraphicsolutions.com/Web-Design-Kansas_City-Missouri.html,benign,0
docstoc.com/docs/37087649/SATURDAY_-MAY-29,benign,0
skclovescollegefootball.wordpress.com/,benign,0
http://trubeats.com/beathelper.html,phishing,1
whitehouseboysmen.org/?tag=tiger-lionel,benign,0
http://www.veiculoseguro.com.br/index.php?option=com_content&view=article&id=65&Itemid=85,phishing,1
mgmcleaners.com/,benign,0
vgreleases.com/PS3/ReleaseDate-338623.aspx,benign,0
youtube.com/watch?v=NKV6aSHoJbc,benign,0
1881.com/cobyways.htm,benign,0
thepipelineshow.blogspot.com/2011/10/2012-draft-watch-charles-hudon.html,benign,0
matthewcharlesheulitt.com/,benign,0
closinglogos.com/page/DiC+Entertainment,benign,0
faculty.cu-portland.edu/,benign,0
nfl.com/player/nellofalaschi/2513804/profile,benign,0
http://www.cuxhaven.cc/index.php?view=category&catid=2&option=com_joomgallery&Itemid=47,phishing,1
youtube.com/watch?v=CrrQCexAYC4,benign,0
prideband.com/,benign,0
http://www.sanremoballroom.com.au/index.php?option=com_phocagallery&view=category&id=1&Itemid=52,phishing,1
flickr.com/photos/12150532@N04/4700249211/,benign,0
http://www.gerridavis.com/galleries/184-gallery-024,phishing,1
ratemds.com/doctor-ratings/2729112/Dr-ROBERT-WERTHEIMER-WEST-CALDWELL-NJ.html,benign,0
en.wikipedia.org/wiki/57th_National_Hockey_League_All-Star_Game,benign,0
rekkerd.org/audiokinetic-partners-with-audio-ease-altiverb-impulse-responses-available-for-wwise/,benign,0
encyclopedia.com/doc/1E1-E-Jeffries.html,benign,0
cvbnmnb.ga,phishing,1
pipl.com/directory/people/Jean/Desroches,benign,0
http://chelurao.ru/index.php?option=com_content&view=article&id=7&Itemid=8&lang=ru,phishing,1
whoosh.org/epguide/herk/herk.html,benign,0
http://www.lgk-luzern.ch/index.php?option=com_content&view=article&id=29&Itemid=43,phishing,1
sssmovie.blogspot.com/,benign,0
max-sherry.suite101.com/2010-ncaa-mens-basketball-tournament-schedule-a200983,benign,0
dailydosh.blogspot.com/,benign,0
brianjenkins5.articlesbase.com/,benign,0
jasonmagbanua.com/2009/03/31/dan-and-dena-keplinger-2-days-before-the-wedding/,benign,0
zimbio.com/photos/Drew+Gooden/Brandon+Bass,benign,0
gomontreal.about.com/,benign,0
twu.ca/athletics/mens-soccer/schedule-and-scores/2007-08/2008-04-12.html,benign,0
hotel-royalty.com/,benign,0
absoluteastronomy.com/topics/2007_Iowa_Hawkeyes_football_team,benign,0
imdb.com/date/11-24/births,benign,0
amazon.com/Some-Are-Lakes-Land-Talk/dp/B001EOQUCS,benign,0
amazon.com/Art-Architecture-China-Pelican-History/dp/0140560106,benign,0
plantsanimals.blogspot.com/,benign,0
http://www.bruecke-erding.de/index.php?view=weblink&catid=19:web-links&id=12:jugendamt-freising&option=com_weblinks&Itemid=48,phishing,1
maxpreps.com/athletes/5Sz7NAI1T0KiH_Tus62wOQ/baseball-spring-11/profile-travis-sweeney.htm,benign,0
5min.com/Video/Guitar-Solo-Technique-Lesson-125398057,benign,0
topozone.com/states/Ohio.asp?county=Allen&feature=Cemetery,benign,0
en.wikipedia.org/wiki/Bob_Maskell,benign,0
http://www.foehn.es/promociones-en-foeehn,phishing,1
signscompanies.com/in/virginia,benign,0
film-book.com/megan-fox-transformers-3-set-photos/,benign,0
http://kakaku.com/pc/bluetooth-adapter/ranking_0067/pricedown/div-gpt-ad-k/header_text,benign,0
music.yahoo.com/ghislain-poirier/,benign,0
evri.com/person/frederick-berndt-schine-0x9854e,benign,0
http://www.deliaclaudio.it/index.php?option=com_content&view=article&id=125:piccola-bottega-di-architettura&catid=31:eseguiti&Itemid=50,phishing,1
city-data.com/elec2/elec-ALAMO-CA.html,benign,0
http://correios.com.br/para-voce/precisa-de-ajuda/proibicoes-e-restricoes/restricoes-para-envios-com-destinos-internacionais,benign,0
nicolekidmanunited.com/NicoleKidmanFilmography/filmthehumanstain2003.html,benign,0
ebay.com/ctg/Classics-Patty-Loveless-CD-Mar-1999-Epic-USA-/3312145/r.html,benign,0
manta.com/mb_55_F20D302W_BFP/catholic_senior_high_school/kansas_city_mo,benign,0
corporationwiki.com/California/Santa-Rosa/sykes-ronald-w-9384594.aspx,benign,0
outdooroutfitters.com/schmidt-bender-riflescopes.aspx,benign,0
http://mylust.com/videos/226624/lewd-amateur-girl-sucks-my-cock-lazily-in-pov-clip/,benign,0
hispanicprwire.com/news.php?l=in&id=11392,benign,0
citizendia.org/Lyndon_B._Johnson,benign,0
http://icicibank.com/Personal-Banking/offers/offer-detail.page?id=offer-yatra-hotel-offer-20150604134542408,benign,0
books.usatoday.com/book/patricia-bosworth-jane-fonda-the-private-life-of-a-public-woman/r545284,benign,0
babylonbaroque.wordpress.com/category/francois-boucher/,benign,0
icehockey.wikia.com/wiki/Dean_Boylan,benign,0
ousd.k12.ca.us/ousd/site/default.asp,benign,0
rooftopfilms.com/2011/venues/the-old-american-can-factory,benign,0
forum.juhlin.com/showthread.php?t=146,benign,0
http://www.berufungswege.de/impulskalender/januar.html,phishing,1
wn.com/Delroy_Lindo,benign,0
asiancanadianprofilesatsamsteele.blogspot.com/,benign,0
funtocollect.com/gundplushbears.html,benign,0
pwhf.org/halloffamers/bios/pat_oconnor.asp,benign,0
examiner.com/video-game-in-national/killzone-3-single-player-demo-available-to-everyone,benign,0
http://www.clinick.com.br/index.php?option=com_content&view=article&id=116:doacoes-26092010&catid=57:doacoes&Itemid=27,phishing,1
duongphuocviet.info,phishing,1
myspace.com/montagmania,benign,0
oldwillysforum.com,phishing,1
worthpoint.com/worthopedia/elegant-antique-officeholder-cloisonne-dish,benign,0
youtube.com/watch?v=osZFj-L5mp0,benign,0
http://norwestcooling.com/products/gaskets-a-grommets.html?tmpl=component&print=1&page=,phishing,1
paleobiology.si.edu/dinosaurs/,benign,0
nictaa.af/,benign,0
sports.espn.go.com/extra/mma/news/story?id=5445786,benign,0
http://www.domusviatoris.com/index.php?option=com_content&view=article&id=69:cea&catid=28:de-fin-de-semana&Itemid=24,phishing,1
ocs-community.com/,benign,0
sonjamccord.com/,benign,0
fanpix.net/gallery/cameron-dye-pictures.htm,benign,0
http://www.markeven.it/network/58.html,phishing,1
corporationwiki.com/Pennsylvania/Chalfont/dengel-brian-g-8883233.aspx,benign,0
http://bestportgroup.com/index.php?view=article&catid=25:the-project&id=61:contact-us&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=80,phishing,1
music.yahoo.com/quo-vadis/,benign,0
http://torcache.net/torrent/ED5DB126CE3BFE56BFE57E5248979B67B044DDB3.torrent?title=[kickass.to]super.hot.indian.hooker.sex.in.a.hotel.with.audio.recorded.by.a.friend.avi,benign,0
wsxzsopedia21.club,phishing,1
fredcoffeeco.com/calendar/index.htm,benign,0
http://www.wxlottery.com/wfjs/11x5/index.html,phishing,1
funnymanbob.com/,benign,0
facebook.com/people/Tim-Folwell/100000854908198,benign,0
en.wikipedia.org/wiki/Plunkett_%26_Macleane,benign,0
googledrive7.org,phishing,1
yelp.com/biz/touch-companies-rosemont,benign,0
religion.wikia.com/wiki/John_D._Faris,benign,0
betagammapikes.com/,benign,0
trademarkia.com/aveos-77709883.html,benign,0
http://www.bfgmek.no/index.php?option=com_content&view=article&id=10&Itemid=43,phishing,1
dog-games.blogspot.com/,benign,0
http://themeforest.net/item/medicallink-responsive-medical-wordpress-theme/10955291,benign,0
wikibin.org/articles/grimsby-town-f.c.-past-squads-and-players-3.html,benign,0
http://www.coleyglesias.com/index.php?option=com_content&view=category&layout=blog&id=49&Itemid=65,phishing,1
eastbay.citysearch.com/profile/map/36591072/oakland_ca/patten_university.html,benign,0
http://www.com-turning.com/-------t/390ce91579516d85ee1271a0bb9ea0d6/login.php,phishing,1
classmates.com/directory/college/Edouard-Montpetit%20College?org=17838321,benign,0
customerservicescoreboard.com/Continental+Airlines,benign,0
clydesdalesvic.org.au/,benign,0
triniefudo.livejournal.com/1984.html,benign,0
facebook.com/people/Cam-Clarke/572455121,benign,0
http://pastehtml.com/view/bpq33z98l.html,phishing,1
people.famouswhy.com/robert_altman/,benign,0
http://www.liceorutigliano.com/index.php?option=com_weblinks&view=category&id=2&Itemid=147,phishing,1
superpages.com/bp/Belmar-NJ/Sonetronics-INC-L0001567250.htm,benign,0
youtube.com/watch?v=ax-rDRd7Kw0,benign,0
http://josecampuzano.net/index2.php?option=com_oziogallery2&view=05imagerotator&Itemid=90,phishing,1
amazon.com/BEST-HORROR-FILMS-OF-2002-2003/lm/R31B0XWK7E1LHO,benign,0
mb-soft.com/believe/tsh/abraham.htm,benign,0
answers.yahoo.com/question/index?qid=20110119131118AAFu3t4,benign,0
http://www.friendshipchurchonline.org/index.php?option=com_jevents&task=icalrepeat.detail&evid=3954&Itemid=21&year=2013&month=03&day=27&title=bible-study-in-psalms&uid=fe4deb5f684fbb0f4bf46b91f968659f,phishing,1
youtube.com/watch?v=7CUM0s5sL1w,benign,0
freebase.com/view/user/masouras/default_domain/views/films_released_in_1985,benign,0
caed.uscourts.gov/caed/staticOther/page_1635.htm,benign,0
tribute.ca/people/elden-henson/2508/,benign,0
http://www.ant-u.com/index.php?limitstart=20,phishing,1
legacy.com/obituaries/startribune/obituary.aspx?n=phyllis-h-fraser&pid=148241225&fhid=9267,benign,0
